"-507.73065146383954*UnitStep[I]","182.24672618203658*UnitStep[I]"
"-494.1666578905002*UnitStep[I]","194.57802588194096*UnitStep[I]"
"-480.4063942520688*UnitStep[I]","205.7126164057761*UnitStep[I]"
"-466.4551977140131*UnitStep[I]","215.83580770665583*UnitStep[I]"
"-451.4523185826927*UnitStep[I]","225.18886610980923*UnitStep[I]"
"-434.418486743716*UnitStep[I]","233.52042392282883*UnitStep[I]"
"-415.3211922023345*UnitStep[I]","239.90452410885365*UnitStep[I]"
"-132.27337147120286*UnitStep[I]","240.50452044440223*UnitStep[I]"
"-112.717644191936*UnitStep[I]","241.91009597113072*UnitStep[I]"
"-93.45753106858608*UnitStep[I]","238.62852879368245*UnitStep[I]"
"-75.36107042887704*UnitStep[I]","229.66052275721995*UnitStep[I]"
"-60.25872286465045*UnitStep[I]","215.42211644119223*UnitStep[I]"
"-50.187624483197425*UnitStep[I]","197.77681458131215*UnitStep[I]"
"-45.76373060492333*UnitStep[I]","179.03415015539076*UnitStep[I]"
"-45.43122705187124*UnitStep[I]","160.7271504373313*UnitStep[I]"
"-46.62455381183603*UnitStep[I]","143.15192480926055*UnitStep[I]"
"-47.814788442082474*UnitStep[I]","125.87861975692388*UnitStep[I]"
"-49.38779486499139*UnitStep[I]","108.56216453596417*UnitStep[I]"
"-52.56954728064775*UnitStep[I]","91.28037315533331*UnitStep[I]"
"-57.73872827233284*UnitStep[I]","74.28530949114256*UnitStep[I]"
"-64.00561750534699*UnitStep[I]","57.65997588136593*UnitStep[I]"
"-70.33996656333485*UnitStep[I]","41.30562908635298*UnitStep[I]"
"-76.74993651560108*UnitStep[I]","25.171192454808615*UnitStep[I]"
"-84.11485272037672*UnitStep[I]","9.360529244433678*UnitStep[I]"
"-92.99473353663191*UnitStep[I]","-6.005930912034688*UnitStep[I]"
"-102.92666045899719*UnitStep[I]","-20.93953478255371*UnitStep[I]"
"-113.00479513168924*UnitStep[I]","-35.51771987184059*UnitStep[I]"
"-122.93275736716774*UnitStep[I]","-49.71055766754314*UnitStep[I]"
"-133.24415596842675*UnitStep[I]","-63.37632417981871*UnitStep[I]"
"-144.51813447662764*UnitStep[I]","-76.47051300780369*UnitStep[I]"
"-156.6591697075745*UnitStep[I]","-89.19098648086155*UnitStep[I]"
"-169.12452240666184*UnitStep[I]","-101.81714637890414*UnitStep[I]"
"-181.71056290254145*UnitStep[I]","-114.37436312682041*UnitStep[I]"
"-194.8295036074595*UnitStep[I]","-126.49566534666245*UnitStep[I]"
"-208.946169682528*UnitStep[I]","-137.64237204222206*UnitStep[I]"
"-223.9701346820839*UnitStep[I]","-147.43075650134455*UnitStep[I]"
"-239.42813761360168*UnitStep[I]","-155.69774625381237*UnitStep[I]"
"-255.1658935250128*UnitStep[I]","-162.25725876487616*UnitStep[I]"
-271.58362965466586,-166.65609497475342
-288.98506686668685,-168.21662092121076
-306.7780414427273,-166.3175661173328
-323.5124110584645,-160.64139337010664
-337.7571056064845,-151.23848587179157
-348.85134420314836,-138.4981268227868
-356.81024981125006,-123.13654048419666
-361.74664080909497,-106.13007465757913
-363.6751076964155,-88.46253792480856
-362.8923897577713,-70.77129959914065
-360.2427913688334,-53.19538169432587
-356.696005097204,-35.60377413573995
-352.6333467648937,-17.9893895889925
-347.73439344136136,-0.6156168765788619
-341.6549305322085,16.224744358442223
-334.66354305669586,32.527848509800975
-327.41797652929597,48.57349825200892
-320.15685001674524,64.58417593071643
-312.36623735740346,80.44121860618665
-303.4069482469945,95.78434835430156
-293.34830552118325,110.37048865067409
-282.9410253718271,124.28330481882307
-272.72297201869384,137.79374837514632
-262.3640340256738,151.08614657596806
-251.08369498564213,164.16651433006876
-238.62379074334308,176.97293341468693
-225.53555505904487,189.4412440856142
-212.38962997523842,201.39982655846396
-198.88963911169125,212.47888733077966
